School,Name,Position,Class,Height,Hometown,High School
Plattsburgh St.,Darby Collyear,Right Side,Fy.,,"Rockwall, Texas",Rockwall
Plattsburgh St.,Liya Girma,Outside Hitter,Fy.,,"Sachse, Texas",Bishop Lynch
Plattsburgh St.,Kyleigh Ganz,Setter/Right Side,So.,,"Phoenix, Ariz.",Seton Catholic Prep
Plattsburgh St.,Katie Salphine,Middle Hitter,Fy.,,"Le Roy, N.Y.",Le Roy
Plattsburgh St.,Melina Morillo,Right Side,So.,,"Bronx, N.Y.",Bronx Latin
Plattsburgh St.,Katarina Wagner,Middle Hitter,Fy.,,"Seattle, Wash.",Foxcroft School (Va.)
Plattsburgh St.,Iris Mulvey,Outside Hitter/Right Side,Fy.,,"Middle Island, N.Y.",Longwood
Plattsburgh St.,Maggie Lyon,Outside Hitter,So.,,"Ballston Spa, N.Y.",Ballston Spa
Plattsburgh St.,Emma Rivers,Setter,Sr.,,"Nesconset, N.Y.",Smithtown West
Plattsburgh St.,Katie Rachwal,Defensive Specialist,Fy.,,"Plymouth, Mich.",Salem
Plattsburgh St.,Jeannette Ashong,Middle Hitter,So.,,"Poughkeepsie, N.Y.",Arlington
Plattsburgh St.,Payton Zophy,Outside Hitter/Libero,Sr.,,"Clifton Park, N.Y.",Shenendehowa
Plattsburgh St.,Sanaia Estime,Outside Hitter,So.,,"West Hempstead, N.Y.",West Hempstead
Plattsburgh St.,Bridget Ryan,Defensive Specialist,So.,,"Mattituck, N.Y.",Mattituck
Plattsburgh St.,Lily White,Defensive Specialist,Sr.,,"Saratoga Springs, N.Y.",Saratoga Springs
Benedict,Jordan Williams,Defensive Specialist,Jr.,,"St. Clair Shores, Mich.",Cass Technical HS
Benedict,Cana Smith,Middle Blocker / Right Side,Sr.,,"Houston, TX",Cypress Lakes HS
Benedict,La'Jai Wilson,Libero/Defensive Specialist,So.,,"New Orleans, La.",Warren Easton Charter HS
Benedict,Jadyn Murry,Setter,Fr.,,"Rosharon, Texas",Shadow Creek HS
Benedict,Willow Alls,Setter,Fr.,,"Pickerington, Ohio",Pickerington Central HS
Benedict,Brandi Seaborn,Defensive Specialist,Jr.,,"Detroit, Mich.",Cass Technical HS
Benedict,Kennede Thomas,Middle Blocker,Jr.,,"Houston, TX",Mirabeau B Lamar HS
Benedict,T'yannah Lake,Outside Hitter,Jr.,,"Frederiksted, Virgin Islands",Saint Croix Edu Complex HS
Benedict,Kaiah Green,Middle Blocker,Sr.,,"Albuquerque, NM",Atrisco Heritage Academy Hs
Benedict,Kylie Jackson,Outside Hitter / Right Side,Fr.,,"Stockbridge, Ga.",Konos Academy
Benedict,Mya Dixon,Right Side,Jr.,,"Laurel, MD",Elizabeth Seton HS
Benedict,Chynna Spears,Middle Blocker,So.,,"New Orleans, La.",Booker T. Washington HS
Benedict,Aliyah Jones,Outside Hitter,So.,,"Phoenix, Ariz.",Arizona College Prep HS
Benedict,Krislenn Lucas,Middle Blocker,Fr.,,"Violet, La.",Chalmette HS
Benedict,Desire' Young,Middle Blocker,Fr.,,"Aurora, Colo.",Smoky Hill HS
SUNY Potsdam,Riley McGinn,Defensive Specialist/Setter,Jr.,,"Albany, N.Y.",Albany
SUNY Potsdam,Gabriella Luna,Setter,Fr.,,"Schenectady, N.Y.",Mekeel Christian Academy
SUNY Potsdam,Lexi Price,Middle Hitter/Opposite,Sr.,,"Geneva, N.Y.",Geneva
SUNY Potsdam,Rachel  Madore,Setter,Fr.,,"Peru, N.Y.",Peru
SUNY Potsdam,Emma Harbeck,Opposite,Fr.,,"Slingerlands, N.Y.",Guilderland
SUNY Potsdam,Sophia Layer,Setter,So.,,"Potsdam, N.Y.",Potsdam
SUNY Potsdam,Marissa Wagoner,Middle Hitter/Opposite,Jr.,,"Clifton Park, N.Y.",Shenendehowa
SUNY Potsdam,Santara Hart,Middle Hitter,Jr.,,"Meridian, Idaho",Meridian
SUNY Potsdam,Madison Gilliland,Defensive Specialist/Libero,Fr.,,"Rossville, Ga.",Lakeview Fort Oglethorpe
SUNY Potsdam,Kendall Jones,Setter/Opposite,Sr.,,"Parker, Colo.",Elizabeth
SUNY Potsdam,Alyssa Adams,Opposite,Jr.,,"Jamestown, N.Y.",Randolph
SUNY Potsdam,Megan Henry,Outside Hitter,Jr.,,"Candor, N.Y.",Candor
SUNY Potsdam,Emily Prest,Outside Hitter,Fr.,,"Averill Park, N.Y.",Averill Park
SUNY Potsdam,Morgan Buckley,Libero/Defensive Specialist,Jr.,,"Third Lake, Ill.",Grayslake North
SUNY Potsdam,Jacqueline Fornabia,Middle Hitter,Fr.,,"Gansevoort, N.Y.",Saratoga Central Catholic
Prairie View A&M,Yvonne Mackenzie,Setter,R-Sr.,,"Dallas, Texas",Centennial HS
Prairie View A&M,MaKinzie Taplin,Setter,So.,,"Glenn Heights, Texas",Red Oak High School
Prairie View A&M,Skylynn Wynn,Middle Blocker,So.,,"Dallas, Texas",Duncanville HS
Prairie View A&M,Jacqueline  Niño,Defensive Specialist,Fr.,,"Mission, TX",Veterans Memorial High School
Prairie View A&M,Kiersten  Atkinson,Middle Blocker,Jr.,,"Grand Prairie, Texas",The Oak Ridge School
Prairie View A&M,Miyuki Johnson,DS,Sr.,,"Savannah, Ga.",Islands
Prairie View A&M,Taylor Jackson,Middle Blocker,R-So.,,"Cypress, Texas",Cy Springs HS
Prairie View A&M,Jade Coates,Middle Blocker,So.,,"Little Rock, Ark.",Mount Saint Mary’s
Prairie View A&M,Bailee Hewitt,Outsdie Hitter,Fr.,,"Fort Worth,Texas",Saginaw HS
Prairie View A&M,Leila Smalls,Right Side Hitter,So.,,"San Antonio, Texas",Louis D. Brandeis HS
Prairie View A&M,Janyah Henderson,Middle Blocker,Fr.,,"Chicago, Ill.",Cypress Ranch HS
Prairie View A&M,Tayler Ruffin,Setter,Fr.,,"Nashville, Tenn.",Goodpasture Christian School
Prairie View A&M,Kylee Turner,Defensive Specialist,Fr.,,"Fort Worth, Texas",Saginaw HS
Prairie View A&M,Kharys Grice,Right Side Hitter,So.,,"Houston, Texas",Klein Cain HS
Prairie View A&M,Sakari McNeal,Outside Hitter,Fr.,,"San Antonio, Texas",Churchill High school
Prairie View A&M,Kylee Owens,Outside Hitter,So.,,"Culver City, Calif.",Culver City HS
Queens (NY),Despina Boudouris,Setter,Jr.,,"Athens, Greece",Wantagh High School
Queens (NY),Alexis Deodat,Right Side/Middle Blocker,Sr.,,"Tampa Bay, FL",East Bay
Queens (NY),Anjeline Arnakis,Outside Hitter/Middle Blocker,Jr.,,"Bayside, N.Y.",Benjamin Cardozo
Queens (NY),Christina Franco,Outside Hitter,Jr.,,"Lynbrook, N.Y.",Lynbrook Senior High School
Queens (NY),Elena Leung,Setter/Outside Hitter,So.,,"Bellerose, N.Y.",Bayside High School
Queens (NY),Alicia Cervera,Right-Side Opposite,Jr.,,"Valencia, Spain",Colegio de Fomento Vilavella
Queens (NY),Lindsay Osterhoudt,Middle-Blocker,So.,,"Orlando, Fla",Freedom High School
Queens (NY),Elizabeth Cerullo,Outside Hitter,So.,,"Saint James, N.Y.",Smithtown East
Queens (NY),Jayna Marie Lorenzo,Setter,So.,,"Rodeo, CA",Salesian College Preparatory
Queens (NY),Kendall Conrad,Outside Hitter,So.,,"Carrolltown, PA",Cambria Heights
Queens (NY),Sarah Munn,Libero,So.,,"Torrance, CA",Redondo Union
Queens (NY),Isabella Anzalone,Right-Side Opposite,So.,,"Long Island City, N.Y.",Monsignor McClancy Memorial
Ramapo,Desiree Cruz,Middle Blocker,Sr.,,"Humacao, Puerto Rico",Petra Mercado
Ramapo,Amanda Fatouh,Defensive Specialist,Jr.,,"New Milford, NJ",New Milford
Ramapo,Kayla Price,Libero,So.,,"Woodland Park , NJ",Passaic Valley
Ramapo,Naja Satchell,Middle Blocker/Opposite,Jr.,,"Magnolia, NJ",Sterling
Ramapo,Cleopatra Diakou,Setter,So.,,"Nicosia, Cyprus",American Academy Nicosia
Ramapo,Kalme Moncavo,Outside Hitter,Sr.,,"Rio de Janeiro, Brazil",Cel Internacional School
Ramapo,Riley Stewart,Opposite,Jr.,,"Jackson, NJ",Jackson Liberty
Ramapo,Claudia Conesa,Middle Blocker,Jr.,,"Granada, Spain",Dulce Nombre de Maria
Ramapo,Katie Bishop,Setter,So.,,"Stuttgart, Germany",Stuttgart
Ramapo,Emily Shea,Opposite,Jr.,,"Toms River, NJ",Toms River North
Ramapo,Krystal  Santiago Oquendo,Libero,Jr.,,"Corozal, Puerto Rico",Academia Santa Teresita
Ramapo,Kaitlyn Van Zile,Middle Blocker,Fr.,,"Wanaque, NJ",Lakeland
Ramapo,Alexandra Sacchinelli,Setter,Jr.,,"Fair Lawn, NJ",Fair Lawn
Ramapo,Karolina Rodriguez,Middle Blocker,Fr.,,Puerto Rico,Colegio Evangélico Capitan Correa
Ramapo,Maliyah LaBrie,Outside Hitter,Fr.,,"Gilbert, AZ",Williams Field
Ramapo,Ashley Kish,Opposite,So.,,"Jefferson, NJ",Jefferson
Ramapo,Penelope Rivera,Opposite,Sr.,,"San Juan, PR",Colegio Marista Guaynabo
Randolph,Emilee Green,RS,FY,,"Yorktown, Va.",Grafton
Randolph,Tatianna Langston,RS,FY,,"Carrolton, Va.",Smithfield
Randolph,Madison Daniels,DS,Sr.,,"Warrenton, Va.",Liberty HS
Randolph,Kinley Spinks,RS,Jr.,,"Covington, Va.",Covington
Randolph,Mackenzie Woodson,MH/RS,So.,,"Norfolk, Va.",Norfolk Collegiate
Randolph,Gracie Fulton,DS/L,So.,,"Staunton, Va.",Riverheads (Shepherd University)
Randolph,Tahani Villines,OH,FY,,"Whittset, N.C.",Williams
Randolph,Brooklyn Finnerty,MH,So.,,"Lynchburg, Va.",Timberlake
Randolph,Cat Meikle,M/RS,So.,,"Bremerton, Wash.",Olympic HS (Olympic College)
Randolph,McKayla Padgett,OH,FY,,"Amherst, Va.",Amherst County HS
Randolph,Meagan Kesler,DS/L,FY,,"Moyock, N.C.",Currituck County HS
Randolph,Tori  Gomoke,OH,FY,,"Chesapeake, Va.",Stonebridge
Randolph,Jayda Domenech,S,Jr.,,"Virginia Beach, Va.",Kempsville
Randolph,Brooke Murdock,MH,R-So.,,"Evington, Va.",Timberlake Christian
Randolph,Sequoyah Sorensen,S,FY,,"Millville, UT",Western Albemarle HS (Va.)
Randolph,Vivianna Gustin,DS/L,Jr.,,"Virginia Beach, Va.",Bayside
Randolph,Izzy Allen,S/DS,FY,,"Williamsburg, Va.",Peninsula Catholic HS
Rhode Island College,Paula Pesoa,Setter,Fr.,,"Johnston, R.I.",Classical
Rhode Island College,Megan Philbrick,Middle Blocker,Jr.,,"Johnston, R.I.",Johnston
Rhode Island College,Brookelyn Feola,Defensive Specialist/Outside Hitter,Fr.,,"Riverside, R.I.",East Providence
Rhode Island College,Nicole Normandin,Libero/Defensive Specialist,Jr.,,"Blackstone, Mass.",Blackstone-Millville
Rhode Island College,Mariah Barbosa,Middle Blocker/Right Side Hitter,Fr.,,"North Attleboro, Mass.",North Attleboro
Rhode Island College,Talia Lewis,Right Side Hitter,Fr.,,"Sacramento, Calif.",Natomas
Rhode Island College,Yuleisy Alvelo,Setter/Defensive Specialist,Fr.,,"Springfield, Mass.",Paulo Freire
Rhode Island College,Andrayah Williams,Middle Blocker,So.,,"North Providence, R.I.",Lincoln
Rhode Island College,Carolyn Bailey,Libero/Defensive Specialist,Fr.,,"Ipswich, Mass.",Ipswich
Rhode Island College,Sarina Marines,Outside Hitter,Fr.,,"Cranston, R.I.",Cranston East
Rhode Island College,Grace Luchka,Setter,Fr.,,"North Scituate, R.I.",Scituate
Rhode Island College,Olivia  Miranda,Right Side Hitter,So.,,"Tiverton, R.I.",Tiverton
Rhode Island College,Rhiannon Hodovanec,Outside Hitter,Jr.,,"Feeding Hills, Mass.",Agawam
Rhode Island College,Marina Colonis,Defensive Specialist/Outside Hitter,Fr.,,"Waterford, Conn.",Waterford
Rhode Island College,Sydnee Pires,Middle Blocker/Right Side Hitter,So.,,"Rochester, Mass.",Old Rochester Regional
Rhodes,Mackenzie Geer,Setter,So.,,"White House, Tenn.",White House Heritage
Ripon,Emily Braun,S,So.,,"Juneau, Wis.",Dodgeland HS
Ripon,Bella Kasuboski,DS,Jr.,,"Racine, Wis.",Union Grove HS
Ripon,Sam Thrasher,DS,Sr.,,"Mauston, Wis.",Mauston HS
Ripon,Lydia Ellis,MB,Sr.,,"Dorr, Mich.",Wayland Union HS
Ripon,Jackie Taylor,OH,Fr.,,"Chicago, Ill.",George Washington HS
Ripon,Haylee Kast,OH,Fr.,,"Reedsburg, Wis.",Reedsburg Area HS
Ripon,Paris Croker,OH,Fr.,,"Eagle River, Wis.",Northland Pines HS
Ripon,Karly Riverdahl,S,So.,,"Winnebago, Ill.",Winnebago HS
Ripon,Alyssa Murry,DS,Jr.,,"Sussex, Wis.",Hamilton HS
Ripon,Lainie Heizler,MB,So.,,"Park Falls, Wis.",Chequamegon HS
Ripon,Sam Differt,OH,So.,,"Sturgeon Bay, Wis.",Sevastopol HS
Ripon,Riley Nielsen,S,Sr.,,"Mauston, Wis.",Wonewoc-Center HS
Ripon,Sophia Brinker,MB,Jr.,,"Wentzville, Mo.",Fort Zumwalt North HS
Ripon,Ellie Ove,RS,Jr.,,"Nashotah, Wis.",Arrowhead HS
Baruch,Julia Perkowski,Middle Blocker,Jr.,,"Staten Island, N.Y.",Susan E. Wagner
Baruch,Mariely Taveras,Middle Hitter,Sr.,,"Jarabacoa, La Vega, Dominican Republic",Hempstead
Baruch,Isabella Doring,Outside Hitter/Opposite Hitter,Jr.,,"Campbell Hall, N.Y.",Washingtonville Senior
Baruch,Sarah Chung,Outside Hitter,Jr.,,"Staten Island, N.Y.",Susan E. Wagner
Baruch,Pei  Qiong Ren,Libero/Defensive Specialist,Fr.,,"New York, N.Y.",Environmental Studies
Baruch,Lizaveta Kushner,Utility,So.,,"Minsk, Belarus",F.D.R.
Baruch,Elana Vaysburd,Outside Hitter/Defensive Specialist,Fr.,,"Sheepshead Bay, N.Y.",Leon M. Goldstein
Baruch,Xheni Doci,Setter,Jr.,,"Saluzzo, Italy","Liceo Linguistico ""Soleri-Bertoni"""
Baruch,Emilie Kaziu,Defensive Specialist,So.,,"Staten Island, N.Y.",Tottenville
Baruch,Caroline Elfner,Libero,Fr.,,"Homewood, IL",Homewood-Flossmoor
Baruch,Karen Pozo,Setter,Fr.,,"Guayaquil, Ecuador",Francis Lewis
Baruch,Delaney Killeen,Middle Hitter/Opposite Hitter,Jr.,,"Somers, N.Y.",Somers
Rochester (NY),La'i Yuen,Defensive Specialist,SR,,"Honolulu, HI",Punahou School
Rochester (NY),Iliana Balaskas,Setter,FY,,"Northbrook, IL",Glenbrook North
Rochester (NY),Ashley Cook,Outside Hitter,FY,,"San Diego, CA",Del Norte
Rochester (NY),Paige Stephenson,Middle Blocker,FY,,"Glen Ellyn, IL",Glenbard South
Rochester (NY),Ruby Moore,Middle Blocker/Outside Hitter,SO,,"Dublin, OH",Dublin Coffman
Rochester (NY),Caroline Hoag,Right Side Hitter,SO,,"Charlotte, NC",American School of Dubai
Rochester (NY),Katie Westerheim,Defensive Specialist/Setter,SO,,"McLean, VA",Langley
Rochester (NY),Julia Chotiner,Outside Hitter/Right Side Hitter,JR,,"Silver Spring, MD",Bethesda Chevy Chase
Rochester (NY),McKenzie McDonald,Setter/Defensive Specialist,FY,,"Aiea, HI",Punahou School
Rochester (NY),Myla Nover-Estes,Outside Hitter/Right Side Hitter,FY,,"Lawrence, KS",Lawrence Free State
Rochester (NY),Areti Tsirikaki,Outside Hitter,JR,,"Dionysos, Greece",Pierce American College
Rochester (NY),Lilly Kraemer,Outside Hitter,FY,,"New Hope, PA",New Hope-Solebury
Rochester (NY),Sonia McGaffigan,Middle Blocker,SR,,"Fairbanks, AK",West Valley
Rochester (NY),Bri Jones,Middle Blocker,JR,,"Rochester, NY",Penfield
Rochester (NY),Alexia Nelms,Setter,JR,,"Rochester, NY",Hilton
Rochester (NY),Maren Smith,Outside Hitter,FY,,"New Woodstock, NY",Cazenovia
Rochester (NY),Megan Cahall,Outside Hitter/Right Side Hitter,FY,,"Fairport, NY",Fairport
Rochester (NY),Lydia Weeks,Defensive Specialist,FY,,"Brentwood, CA",Mountain View
Rochester (NY),Ilaria Benciolini,Middle Blocker/Right Side Hitter,JR,,"Padua, Italy",Liceo Scientifico Nievo
Rockford,Keara Ross,DS,So.,,"Dodge Center, Minn.",Triton
Rockford,Alexis Brashaw,MB,Sr.,,"Dakota, Ill.",Dakota
Rockford,Taylor Sagen,S,Sr.,,"Milwaukee, Wis.",Greenfield
Rockford,Brynn Atwell,DS,Sr.,,"Galesburg, Ill.",Galesburg
Rockford,Maddison Tervelt,DS,So.,,"Roscoe, Ill.",Harlem
Rockford,Tamsy Leverton,OPP/MH,So.,,"Davis, Ill.",Dakota
Rockford,Grace Vyborny,OH/OPP,Fr.,,"Rockford, Ill.",Harlem
Rockford,Melody Moreno,OH/DS,Jr.,,"El Paso, Texas",Canutillo
Rockford,Leila Cooks,S/DS,Fr.,,"Copperas Cove, Texas",Copperas Cove
Rockford,Alexx Burton,OPP/OH,Jr.,,"West Valley City, Utah",West
Rockford,Amelia Rodriguez,MH,So.,,"Coal City, Ill.",Coal City
Rockford,Colleen Douglas,OPP,Jr.,,"Mason City, Ill.",Illini Central
Rockford,Chloe Chaffin,DS,So.,,"New Albany, Ind.",Virtual Academy
Rockford,Caitlin Hicks,DS,Sr.,,"Bolingbrook, Ill.",Bolingbrook
Rockford,Jasmine Landberg,DS,Jr.,,"Carrolton, Texas",Creekview
Rockford,Savannah Crooks,S,So.,,"Aurora, Ill.",West
Rockford,Jayce Shaw,OPP,So.,,"Rockford, Ill.",Harlem
Rockford,AshNe'a Anderson,OH,So.,,"Colville, Wash.",Colville
Roger Williams,Savannah Bernabucci,Outside Hitter,So.,,"Meriden, Conn.",Maloney
Roger Williams,Ava Mattiucci,Setter,Jr.,,"North Kingstown, R.I.",North Kingstown
Roger Williams,Emma Bosco,Setter,So.,,"North Andover, Mass.",North Andover
Roger Williams,Marianna Hernandez,Libero/Defensive Specialist,Fr.,,"Norwalk, Conn.",Brien McMahon
Roger Williams,Hailey Brasseur,Defensive Specialist,Jr.,,"Barrington, N.H.",Oyster River
Roger Williams,Peyton Felix,Opposite,Fr.,,"Burnt Hills, N.Y.",Burnt Hills-Ballston Lake
Roger Williams,Jillian Smith,Right Side,So.,,"New Milford, Conn.",New Milford
Roger Williams,Taylor Joyner,Outside Hitter,Fr.,,"Ashburn, Va.",Rock Ridge
Roger Williams,Kaylee Jackson,Outside Hitter,So.,,"Naugatuck, Conn.",Naugatuck
Roger Williams,Lily Winsten,Middle Hitter,So.,,"Rockledge, Fla.",West Shore
Roger Williams,Izzy Unsworth,Defensive Specialist,So.,,"Milford, N.H.",Milford
Roger Williams,Brianna Picchietti,Outside Hitter,So.,,"Batavia, Ill.",Batavia
Roger Williams,Sam Johnson,Setter,So.,,"Richmond, Va.",Millbrook
Roger Williams,Rachel Borzone,Defensive Specialist,Sr.,,"Syosset, N.Y.",Syosset
Rose-Hulman,Lily Ebright,DS,So.,,"Wichita, Kan.",Bishop Carroll
Rose-Hulman,Uche Osuji,MH,Fr.,,"Rainbow City, Ala.",Gadsden City
Rose-Hulman,McKenzie Gross,S,So.,,"Las Vegas, Nev.",Meadows School
Rose-Hulman,Sydney Naibauer,MH,Jr.,,"Castle Pines, Colo.",Rock Canyon
Rose-Hulman,Marina Cadilli,DS,So.,,"Conifer, Colo.",Conifer
Rose-Hulman,Kylie Rathbun,DS,Sr.,,"Tulsa, Okla.",Jenks
Rose-Hulman,Jillian Gregg,S/RS,Jr.,,"Marshall, Ind.",Parke Heritage
Rose-Hulman,Megan Weber,RS,Jr.,,"Schaumburg, Ill.",Schaumburg
Rose-Hulman,Jayden O'Dell,DS,Jr.,,"Suwanee, Ga.",North Gwinnett
Rose-Hulman,Allie Fults,MH,Sr.,,"Centralia, Ill.",Centralia
Rose-Hulman,Angela Potts,OH,Jr.,,"Spotsylvania, Va.",Riverbend
Rose-Hulman,Megan Korte,OH,So.,,"St. Louis, Mo.",Villa Duchesne
Rose-Hulman,Sophia Koop,OH,Sr.,,"Lawrenceville, Ga.",Brookwood
Rose-Hulman,Kate Wood,MH,Sr.,,"Prospect, Ky.",Presentation Academy
Rose-Hulman,Ellie Harshany,OH/DS,So.,,"Pensacola, Fla.",Pace
Rose-Hulman,Hayden Hamilton,S/RS,Fr.,,"Wilsonville, Ore.",Ridgeview
Rutgers-Newark,Samauria Williams,Middle Blocker / Outside,FR,,"Aberdeen, MD",Chesapeake High School
Rutgers-Newark,Sabrina Suquinagua,Middle Blocker / Outside,FR,,"West NY, NJ",West New York High School
Rutgers-Newark,Kaiel Maynor,Outside Hitter,SR,,"Newark, NJ",Science Park
Rutgers-Newark,Emma Walters,Setter,FR,,"Lehi, UT",Hillcrest High School
Rutgers-Newark,Angelyse Orellana,Setter,SO,,"Newark, NJ",Essex County Schools of Tech
Rutgers-Newark,Dezaray Malcolm,Middle Blocker / Outside,FR,,"Camden, NJ",Camden High School
Rutgers-Newark,Briana Gaviria,Libero / Defensive Specialist,FR,,"Warren, NJ",Watchung Hills Regional
Rutgers-Newark,Yzana Harwood,Libero / Defensive Specialist,FR,,"Arvada, CO",Pomona High School
Rutgers-Newark,Rocio Santiago,Setter,SO,,"Linden, NJ",Linden High School
Rutgers-Newark,Aliyah Sanchez,Right Side,SO,,"Bloomfield, NJ",Bloomfield
St. Anselm,Caroline Belmontez,DS,5th,,"San Diego, Calif.",Academy of Our Lady of Peace
St. Anselm,Abigail Macalaguim,S,So.,,"Chula Vista, Calif.",Eastlake High
St. Anselm,Audrey Wetjen,MB,Sr.,,"Henderson, Nev.",Foothill
St. Anselm,Emma Adams,MB,Sr.,,"Gary, Texas",Gary / Allen CC
St. Anselm,Madeline Burke,DS,Fr.,,"Lake George, N.Y.",Lake George Junior-Senior High
St. Anselm,Emily Pender,MB,Sr.,,"Sparks, Nev.",Edward C. Reed
St. Anselm,Jada Burdier,DS,Jr.,,"Haverhill, Mass.",Haverhill
St. Anselm,Vivian Neyman,MB,Fr.,,"Winchester, Mass.",Winchester High
St. Anselm,Annabelle Stabach,RS/DS,So.,,"Glastonbury, Conn.",East Catholic
St. Anselm,Anastasia Karaban,RS,So.,,"Northborough, Mass.",Algonquin Regional
St. Anselm,Melis Kocak,OH,Fr.,,"East Greenwich, R.I.",East Greenwich High
St. Anselm,Miia Dembski,RS,Fr.,,"Lancaster, N.Y.",Lancaster Central High School
St. Anselm,Kaitlin Brown,OH,Sr.,,"Glendale, Ariz.",Deer Valley
St. Anselm,Sam Pila,S,Fr.,,"Melbourne, Australia",Methodist Ladies College
St. Anselm,Alina Barbarena,DS,Sr.,,"Los Angeles, Calif.",Sacred Heart
St. Anselm,Skylar Ryan,DS,So.,,"Channahon, Ill.",Minooka Community
St. Anselm,Emma Carolan,DS,Fr.,,"North Babylon, N.Y.",North Babylon High School
St. Anselm,Hollyn Frano,OH,Fr.,,"Cave Creek, Ariz.",Cactus Shadows High
Saint Benedict,Chaeli Haupert,DS,So.,,"Keller, Texas",Fort Worth Christian
Saint Benedict,Mackenzie McDonald,DS,Sr.,,"Lino Lakes, Minn.",Centennial
Saint Benedict,Jonna Goehner,DS,So.,,"Scandia, Minn.",Forest Lake
Saint Benedict,LaRae Kram,S,Jr.,,"Morris, Minn.",Morris Area
Saint Benedict,Brooke Andries,RS,FY,,"Marshall, Minn.","Marshall, Minn."
Saint Benedict,Audrey Spolidoro,S,Jr.,,"Cottage Grove, Minn.",East Ridge
Saint Benedict,Kendall Luoma,OH,FY,,"Monticello, Minn.",Monticello
Saint Benedict,Grace Holm,MB,Jr.,,"Vadnais Heights, Minn.",Hill-Murray
Saint Benedict,Madelyn Gregory,MB,Jr.,,"Willmar, Minn.",Willmar
Saint Benedict,Emma Guest,OH,Sr.,,"Oak Grove, Minn.",Saint Francis
Saint Benedict,Kali Jones,OH,FY,,"Annandale, Minn.",Annandale
Saint Benedict,Makana Schroeder,OH,FY,,"Byron, Minn.",Byron
Saint Benedict,Olivia  Thompson,OH,Sr.,,"Palm Harbor, Fla.",East Lake High School
Saint Benedict,Paige Andries,MB,Sr.,,"Marshall, Minn.",Marshall
Saint Benedict,Kristen Hilbert,MB,FY,,"Kimball, Minn.",Kimball
Saint Benedict,Ingrid Noha,S,FY,,"Lino Lakes, Minn.",Centennial
Saint Benedict,Mackenzie Knofczynski,MB,So.,,"Willmar, Minn.",Willmar
Saint Benedict,Abigail Kelly,OS,FY,,"Lakeville, Minn.",Lakeville North
Saint Benedict,Libby Burns,DS,FY,,"Watertown, Minn.",Watertown/Mayer
Saint Benedict,Kate Stadum,OH,FY,,"Brainerd, Minn.",Brainerd
Saint Benedict,Morgan Eggert,OH,FY,,"Rice, Minn.",Sauk Rapids/Rice
Saint Benedict,Sophia Morken,DS,FY,,"Mabel, Minn.",Mabel-Canton
St. Catherine,Liz Rosen,Outside Hitter/Defensive Specialist,So.,,"Clear Lake, Wis.",Clear Lake
St. Catherine,Clara Malecha,Defensive Specialist,Fy.,,"Faribault, Minn.",Faribault
St. Catherine,Allie Hartzel,Setter,Fy.,,"White Bear Township, Minn.",Hill-Murray
St. Catherine,Tiffany Tellez,Outside Hitter,So.,,"Peoria, Ariz.",Xavier College Prep
St. Catherine,Maggie Rosen,Outside Hitter,Sr.,,"Clear Lake, Wis.",Clear Lake
St. Catherine,Claire Segner,Defensive Specialist,Sr.,,"Waconia, Minn.",Waconia
St. Catherine,Madison Fagan,Middle Hitter,So.,,"Orange Park, Fla.",Oakleaf
St. Catherine,Haley Smith,Setter,Jr.,,"Riverside, Calif.",Martin Luther King
St. Catherine,Bella Scaia,Defensive Specialist,So.,,"Chisholm, Minn.",Hibbing
St. Catherine,Mallory Johnson,Middle Hitter/Outside Hitter,So.,,"Osceola, Wis.",Osceola
St. Catherine,Brenna Essig,Outside Hitter,Jr.,,"Dodge Center, Minn.",Triton
St. Catherine,Eleanor Erickson,Middle Hitter / Rightside Hitter,Fy.,,"Minneapolis, Minn.",Jefferson
St. Catherine,Ella Rustand,Setter,Fy.,,"Las Vegas, Nev.",Faith Lutheran
St. Catherine,Emily Bredman,Middle Hitter,So.,,"Barnesville, Minn.",Barnesville
St. Catherine,Gabby Martenson,Rightside Hitter,Fy.,,"Esko, Minn.",Esko
St. Catherine,Lucia Neuman,Setter,Jr.,,"St. Croix Falls, Wis.",St. Croix Falls
St. Catherine,Lexie Petrick,Outside Hitter,Jr.,,"Lakeville, Minn.",Lakeville North
St. Cloud St.,Sam Zimmerman,MB,R-So.,6' 0'',"Moorhead, Minn.",Moorhead
St. Cloud St.,Emily Kern,Li/DS,So.,5' 6'',"Belgrade, Minn.",Belgrade-Brooten-Elrosa
St. Cloud St.,Emilie Planert,MB,So.,6' 0'',"De Pere, Wis.",West De Pere
St. Cloud St.,Abby Wachal,OH/OPP,Fr.,5' 10'',"Lincoln, Neb.",Lincoln Lutheran
St. Cloud St.,Keely Kurschner,Li/DS,Jr.,5' 4'',"Maplewood, Minn.",Hill-Murray
St. Cloud St.,Allena Shimon,S,Sr.,5' 9'',"Des Moines, Iowa",Dowling Catholic
St. Cloud St.,Maddie MacTaggart,OH,So.,5' 10'',"Omaha, Neb.",Millard West
St. Cloud St.,Kenzie Foley,OH,Sr.,6' 1'',"Sergeant Bluff, Iowa",Sergeant Bluff-Luton
St. Cloud St.,Ella Thompson,MB,Jr.,6' 1'',"Lakeville, Minn.",Lakeville North
St. Cloud St.,Annika Forbes,DS/OH,Fr.,5' 5'',"Cottage Grove, Minn.",New Life Academy
